cellId	SMTS	SMTSD
GTEX-WHWD-0826-SM-3LK6R	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1GPI7-0226-SM-9MQKB	Adipose Tissue	Adipose - Subcutaneous
GTEX-13PDP-0226-SM-5K7W9	Adipose Tissue	Adipose - Subcutaneous
GTEX-Y114-1326-SM-4TT9A	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-14PJO-1626-SM-69LPQ	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-17F98-0326-SM-7DHLH	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-17F9Y-0726-SM-7LT9G	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-15DZA-0626-SM-6PANC	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-14C39-2526-SM-5S2UH	Adipose Tissue	Adipose - Subcutaneous
GTEX-QDVJ-1826-SM-2S1P3	Adipose Tissue	Adipose - Subcutaneous
GTEX-1ICG6-1726-SM-ARU7K	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1I1GR-1726-SM-COH39	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-18D9A-2026-SM-718BL	Adipose Tissue	Adipose - Subcutaneous
GTEX-1F6RS-0226-SM-9MQKO	Adipose Tissue	Adipose - Subcutaneous
GTEX-1H3VE-1926-SM-9YFL4	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-ZAK1-0226-SM-5CVMX	Adipose Tissue	Adipose - Subcutaneous
GTEX-R55D-0326-SM-48FES	Adipose Tissue	Adipose - Subcutaneous
GTEX-1KXAM-2326-SM-CYPTD	Adipose Tissue	Adipose - Subcutaneous
GTEX-14PHX-1626-SM-69LQB	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1HSMQ-1426-SM-ADEHT	Adipose Tissue	Adipose - Subcutaneous
GTEX-1S5ZA-1026-SM-EWRO2	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-139YR-2426-SM-5J1OB	Adipose Tissue	Adipose - Subcutaneous
GTEX-14E6E-1926-SM-664N4	Adipose Tissue	Adipose - Subcutaneous
GTEX-XQ3S-1626-SM-4WAYN	Adipose Tissue	Adipose - Subcutaneous
GTEX-1EX96-1426-SM-7PBZ5	Adipose Tissue	Adipose - Subcutaneous
GTEX-YEC3-0926-SM-5Q5AC	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-WH7G-2226-SM-3NMBN	Adipose Tissue	Adipose - Subcutaneous
GTEX-11DXY-0326-SM-5H12F	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1GTWX-0226-SM-9YFLL	Adipose Tissue	Adipose - Subcutaneous
GTEX-1A8G6-2026-SM-73KYC	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1EH9U-0226-SM-7PBY8	Adipose Tissue	Adipose - Subcutaneous
GTEX-16YQH-0226-SM-6PALD	Adipose Tissue	Adipose - Subcutaneous
GTEX-17F9Y-0326-SM-7IGLS	Adipose Tissue	Adipose - Subcutaneous
GTEX-ZP4G-1326-SM-5EGIW	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-PLZ4-0226-SM-CYPR1	Adipose Tissue	Adipose - Subcutaneous
GTEX-U3ZM-1026-SM-EZ6LD	Adipose Tissue	Adipose - Subcutaneous
GTEX-1I19N-0426-SM-ACKVY	Adipose Tissue	Adipose - Subcutaneous
GTEX-1CB4E-0826-SM-793CS	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1F75I-0426-SM-7PC3S	Adipose Tissue	Adipose - Subcutaneous
GTEX-1B97I-1726-SM-7939V	Adipose Tissue	Adipose - Subcutaneous
GTEX-13OVJ-0926-SM-5K7U1	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1PFEY-1626-SM-E9J3M	Adipose Tissue	Adipose - Subcutaneous
GTEX-1RNTQ-0826-SM-E9TK8	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-P44H-0326-SM-2XCES	Adipose Tissue	Adipose - Subcutaneous
GTEX-1JMLX-0126-SM-CMKG9	Adipose Tissue	Adipose - Subcutaneous
GTEX-1ICLY-0226-SM-ARL7R	Adipose Tissue	Adipose - Subcutaneous
GTEX-1EU9M-1126-SM-793DE	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-17F97-0426-SM-7LT9U	Adipose Tissue	Adipose - Subcutaneous
GTEX-T2IS-0226-SM-32QPH	Adipose Tissue	Adipose - Subcutaneous
GTEX-11LCK-0326-SM-5A5M7	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1JKYN-0526-SM-CGQG3	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1AYCT-1126-SM-79OO8	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-P44G-2326-SM-2XCCZ	Adipose Tissue	Adipose - Subcutaneous
GTEX-1F52S-1326-SM-7SB6Q	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1N2EF-0926-SM-E8VNW	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1JMLX-1026-SM-D3L8U	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1KXAM-0526-SM-DKPQN	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-14BMV-0226-SM-5S2N2	Adipose Tissue	Adipose - Subcutaneous
GTEX-13VXU-1026-SM-5KLZE	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1I1GU-0626-SM-CMKHR	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-15SHU-2326-SM-7KUMC	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-QDVN-2126-SM-33HBS	Adipose Tissue	Adipose - Subcutaneous
GTEX-1LGRB-2426-SM-CNPP3	Adipose Tissue	Adipose - Subcutaneous
GTEX-1B97I-0526-SM-73KXE	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-13FTW-0426-SM-5K7X2	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-13PL7-1226-SM-5SIAR	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1RQEC-2526-SM-EVYD2	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1GN73-0326-SM-9KNTW	Adipose Tissue	Adipose - Subcutaneous
GTEX-ZYVF-1026-SM-5E44V	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1399R-2626-SM-5KLZ7	Adipose Tissue	Adipose - Subcutaneous
GTEX-ZE7O-0226-SM-5S2N1	Adipose Tissue	Adipose - Subcutaneous
GTEX-1AYCT-2226-SM-7SB98	Adipose Tissue	Adipose - Subcutaneous
GTEX-13W3W-2526-SM-5SI9P	Adipose Tissue	Adipose - Subcutaneous
GTEX-XMD2-0226-SM-4WWEE	Adipose Tissue	Adipose - Subcutaneous
GTEX-YB5K-2226-SM-4WWG1	Adipose Tissue	Adipose - Subcutaneous
GTEX-1H1ZS-1326-SM-9WG74	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-13PLJ-0126-SM-5L3HU	Adipose Tissue	Adipose - Subcutaneous
GTEX-139T8-0226-SM-5L3EA	Adipose Tissue	Adipose - Subcutaneous
GTEX-1H3VE-0226-SM-9WYST	Adipose Tissue	Adipose - Subcutaneous
GTEX-144GN-0726-SM-5O98O	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-131YS-0226-SM-5IJEH	Adipose Tissue	Adipose - Subcutaneous
GTEX-Y3I4-0726-SM-E9J3Y	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1HSGN-0126-SM-CGQFU	Adipose Tissue	Adipose - Subcutaneous
GTEX-1QW4Y-0826-SM-DTXE1	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-Y3I4-2226-SM-4TT7O	Adipose Tissue	Adipose - Subcutaneous
GTEX-ZLV1-1826-SM-5FQU5	Adipose Tissue	Adipose - Subcutaneous
GTEX-1F52S-0226-SM-7SB7U	Adipose Tissue	Adipose - Subcutaneous
GTEX-18A67-1326-SM-7LT8V	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-T6MN-0226-SM-32PMD	Adipose Tissue	Adipose - Subcutaneous
GTEX-1JN6P-1626-SM-CYPSV	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1I1GS-0926-SM-A9SL5	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-14E6D-1326-SM-62LES	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1HSMQ-1026-SM-ADEHU	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-14AS3-2026-SM-5TDD9	Adipose Tissue	Adipose - Subcutaneous
GTEX-1N2EE-1526-SM-DTXE9	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-16MTA-2126-SM-6PALC	Adipose Tissue	Adipose - Subcutaneous
GTEX-YFCO-2026-SM-4W21Q	Adipose Tissue	Adipose - Subcutaneous
GTEX-17HG3-2326-SM-79OKH	Adipose Tissue	Adipose - Subcutaneous
GTEX-144GM-0626-SM-79OKY	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1JJE9-1526-SM-CM2RR	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-146FR-0226-SM-5Q5F6	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-Y111-0226-SM-4SOIW	Adipose Tissue	Adipose - Subcutaneous
GTEX-1IDJC-0226-SM-CMKG2	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-17KNJ-2226-SM-DKPOU	Adipose Tissue	Adipose - Subcutaneous
GTEX-13VXU-0226-SM-5SI9R	Adipose Tissue	Adipose - Subcutaneous
GTEX-NFK9-0326-SM-3MJGV	Adipose Tissue	Adipose - Subcutaneous
GTEX-QESD-1526-SM-2S1QT	Adipose Tissue	Adipose - Subcutaneous
GTEX-14ICK-0326-SM-6LLIZ	Adipose Tissue	Adipose - Subcutaneous
GTEX-1I1GQ-0226-SM-COH3I	Adipose Tissue	Adipose - Subcutaneous
GTEX-1H4P4-0326-SM-9WYTD	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1KAFJ-2426-SM-D4P32	Adipose Tissue	Adipose - Subcutaneous
GTEX-1JKYR-1226-SM-CM2S7	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1A8G6-0526-SM-7PC1E	Adipose Tissue	Adipose - Subcutaneous
GTEX-1HCUA-0926-SM-ADEIX	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-11EMC-2826-SM-5PNY6	Adipose Tissue	Adipose - Subcutaneous
GTEX-1B8L1-0126-SM-9KNVS	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-WEY5-1926-SM-3GIL8	Adipose Tissue	Adipose - Subcutaneous
GTEX-VJYA-1326-SM-3GIJC	Adipose Tissue	Adipose - Subcutaneous
GTEX-1R9K4-1426-SM-DPRY4	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-15SDE-2426-SM-7KFRC	Adipose Tissue	Adipose - Subcutaneous
GTEX-1HCU7-0326-SM-CMKGI	Adipose Tissue	Adipose - Subcutaneous
GTEX-13O1R-0226-SM-5K7U5	Adipose Tissue	Adipose - Subcutaneous
GTEX-139TT-0226-SM-5K7YH	Adipose Tissue	Adipose - Subcutaneous
GTEX-11OF3-0826-SM-5BC51	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-PSDG-0326-SM-48TCP	Adipose Tissue	Adipose - Subcutaneous
GTEX-ZF29-0826-SM-5S2O2	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1QP6S-0126-SM-E9J4K	Adipose Tissue	Adipose - Subcutaneous
GTEX-1313W-1626-SM-5J1OE	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-145LV-1026-SM-5O9AE	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1I1GV-0426-SM-ARZLX	Adipose Tissue	Adipose - Subcutaneous
GTEX-1IDJU-0926-SM-ARL88	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-ZPU1-2426-SM-4WWFM	Adipose Tissue	Adipose - Subcutaneous
GTEX-13NZ9-0526-SM-5J1OX	Adipose Tissue	Adipose - Subcutaneous
GTEX-1JMPY-0326-SM-CM2S2	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-WI4N-1126-SM-3LK7Q	Adipose Tissue	Adipose - Subcutaneous
GTEX-13YAN-0426-SM-5O9DR	Adipose Tissue	Adipose - Subcutaneous
GTEX-1IDJU-2526-SM-CMKGF	Adipose Tissue	Adipose - Subcutaneous
GTEX-1RB15-1126-SM-E8VMX	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-14ICK-1726-SM-6AJA5	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-13X6J-0226-SM-7EPGC	Adipose Tissue	Adipose - Subcutaneous
GTEX-1I1GR-0226-SM-CMKHQ	Adipose Tissue	Adipose - Subcutaneous
GTEX-17MF6-0226-SM-7LG4G	Adipose Tissue	Adipose - Subcutaneous
GTEX-1H1DF-1426-SM-9YFMC	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1S5ZU-0226-SM-E6CHW	Adipose Tissue	Adipose - Subcutaneous
GTEX-YJ89-1926-SM-5IFJ6	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-139T6-2126-SM-5KM37	Adipose Tissue	Adipose - Subcutaneous
GTEX-144GL-0226-SM-5QGOX	Adipose Tissue	Adipose - Subcutaneous
GTEX-11ONC-2526-SM-5986W	Adipose Tissue	Adipose - Subcutaneous
GTEX-ZPU1-1226-SM-5HL71	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1HBPH-0526-SM-9YFMN	Adipose Tissue	Adipose - Subcutaneous
GTEX-1PBJI-0426-SM-E8VNM	Adipose Tissue	Adipose - Subcutaneous
GTEX-15DCD-0226-SM-6LPKC	Adipose Tissue	Adipose - Subcutaneous
GTEX-1A8FM-2126-SM-7PC27	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-YEC3-1226-SM-5IFI8	Adipose Tissue	Adipose - Subcutaneous
GTEX-11DXZ-1426-SM-5H12A	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-18A66-0326-SM-718BE	Adipose Tissue	Adipose - Subcutaneous
GTEX-1J8Q2-2226-SM-CM2TZ	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-13D11-0526-SM-5LZYM	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-17MF6-1326-SM-79ONE	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-XBEW-0726-SM-4QARX	Adipose Tissue	Adipose - Subcutaneous
GTEX-1B8SG-1426-SM-7EWEM	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-145MF-0526-SM-5LUA6	Adipose Tissue	Adipose - Subcutaneous
GTEX-1CAMR-1826-SM-7MXUJ	Adipose Tissue	Adipose - Subcutaneous
GTEX-11WQC-2426-SM-5EQKQ	Adipose Tissue	Adipose - Subcutaneous
GTEX-13N11-2626-SM-5K7UQ	Adipose Tissue	Adipose - Subcutaneous
GTEX-X4LF-1726-SM-3NMBZ	Adipose Tissue	Adipose - Subcutaneous
GTEX-1MA7X-1026-SM-DKPQ8	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-R55C-1626-SM-48FEG	Adipose Tissue	Adipose - Subcutaneous
GTEX-131XF-0726-SM-5GIE5	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-XV7Q-1726-SM-4BRUU	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-11TT1-1926-SM-5PNYN	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1KANC-0526-SM-D4P3T	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-ZF3C-1026-SM-5S2OC	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-ZGAY-0626-SM-DO92E	Adipose Tissue	Adipose - Subcutaneous
GTEX-ZDYS-2226-SM-5S2MI	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-17F98-1126-SM-79OJS	Adipose Tissue	Adipose - Subcutaneous
GTEX-1H1CY-0826-SM-9WYTU	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-WL46-2026-SM-3LK7U	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-13OVH-1126-SM-5K7YP	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-WYVS-0626-SM-4SOJY	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-POYW-0726-SM-2XCEO	Adipose Tissue	Adipose - Subcutaneous
GTEX-13NYB-2626-SM-9YFMI	Adipose Tissue	Adipose - Subcutaneous
GTEX-WXYG-0926-SM-3NB2O	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1OFPY-0826-SM-DTX8P	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1HSKV-1926-SM-CNPPN	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-14PK6-2026-SM-6LLHP	Adipose Tissue	Adipose - Subcutaneous
GTEX-11DYG-2026-SM-5EGGX	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-WH7G-1126-SM-3NMBK	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1GF9V-0226-SM-9MQKA	Adipose Tissue	Adipose - Subcutaneous
GTEX-1JMQK-0126-SM-CM2S3	Adipose Tissue	Adipose - Subcutaneous
GTEX-TMZS-0226-SM-3DB9N	Adipose Tissue	Adipose - Subcutaneous
GTEX-ZDTS-1826-SM-5S2N6	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1IY9M-0226-SM-CMKHP	Adipose Tissue	Adipose - Subcutaneous
GTEX-1F5PL-1326-SM-7SB83	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1MJK2-0526-SM-DTXE6	Adipose Tissue	Adipose - Subcutaneous
GTEX-1CB4F-0526-SM-9KNW2	Adipose Tissue	Adipose - Subcutaneous
GTEX-13FH7-2226-SM-5IJD4	Adipose Tissue	Adipose - Subcutaneous
GTEX-14PJ3-1926-SM-62LEY	Adipose Tissue	Adipose - Subcutaneous
GTEX-12KS4-0426-SM-5EQMC	Adipose Tissue	Adipose - Subcutaneous
GTEX-14H4A-1026-SM-62LDY	Adipose Tissue	Adipose - Subcutaneous
GTEX-17F97-0526-SM-7DUF8	Muscle	Muscle - Skeletal
GTEX-13PVQ-0326-SM-5K7YF	Muscle	Muscle - Skeletal
GTEX-111VG-2626-SM-5GZY2	Muscle	Muscle - Skeletal
GTEX-1IDJE-2426-SM-ACKWF	Muscle	Muscle - Skeletal
GTEX-1K2DU-2526-SM-D3L8V	Muscle	Muscle - Skeletal
GTEX-11DXY-2726-SM-5GID2	Muscle	Muscle - Skeletal
GTEX-1PIGE-0226-SM-E76OT	Muscle	Muscle - Skeletal
GTEX-131XF-2326-SM-5BC6B	Muscle	Muscle - Skeletal
GTEX-11TT1-2326-SM-5GU6N	Muscle	Muscle - Skeletal
GTEX-11ZUS-1426-SM-5FQSP	Muscle	Muscle - Skeletal
GTEX-146FR-1726-SM-5Q5DT	Muscle	Muscle - Skeletal
GTEX-ZAB4-0426-SM-5HL7N	Muscle	Muscle - Skeletal
GTEX-1LVA9-0326-SM-DLHBU	Muscle	Muscle - Skeletal
GTEX-17F98-1626-SM-7938R	Muscle	Muscle - Skeletal
GTEX-15SB6-1826-SM-6PALN	Muscle	Muscle - Skeletal
GTEX-147GR-0126-SM-62LER	Muscle	Muscle - Skeletal
GTEX-1I1GQ-0326-SM-A9SKS	Muscle	Muscle - Skeletal
GTEX-1GZ4H-1626-SM-7PC3F	Muscle	Muscle - Skeletal
GTEX-145MO-0726-SM-5NQB9	Muscle	Muscle - Skeletal
GTEX-139TT-0426-SM-5IJFA	Muscle	Muscle - Skeletal
GTEX-1B97I-2026-SM-7DHN2	Muscle	Muscle - Skeletal
GTEX-14PN4-0326-SM-6EU2N	Muscle	Muscle - Skeletal
GTEX-16MTA-2026-SM-7KUL3	Muscle	Muscle - Skeletal
GTEX-ZY6K-2026-SM-5GZXQ	Muscle	Muscle - Skeletal
GTEX-REY6-0826-SM-2TF4S	Muscle	Muscle - Skeletal
GTEX-16AAH-1826-SM-7939D	Muscle	Muscle - Skeletal
GTEX-111FC-0326-SM-5GZZ1	Muscle	Muscle - Skeletal
GTEX-XBEC-0626-SM-4QARY	Muscle	Muscle - Skeletal
GTEX-14LZ3-0626-SM-5ZZWP	Muscle	Muscle - Skeletal
GTEX-1LGOU-2126-SM-DIPFG	Muscle	Muscle - Skeletal
GTEX-131XE-2726-SM-5P9G7	Muscle	Muscle - Skeletal
GTEX-18D9A-1826-SM-718BK	Muscle	Muscle - Skeletal
GTEX-18A7B-0326-SM-7LG65	Muscle	Muscle - Skeletal
GTEX-15DDE-0526-SM-6ETZQ	Muscle	Muscle - Skeletal
GTEX-1LH75-2626-SM-E9TKL	Muscle	Muscle - Skeletal
GTEX-1A3MX-0526-SM-718A9	Muscle	Muscle - Skeletal
GTEX-13RTK-1626-SM-5QGQS	Muscle	Muscle - Skeletal
GTEX-1F48J-0526-SM-9WYSX	Muscle	Muscle - Skeletal
GTEX-16NPV-2426-SM-6M482	Muscle	Muscle - Skeletal
GTEX-16MT8-0326-SM-6PAM5	Muscle	Muscle - Skeletal
GTEX-14BIM-0326-SM-5SI9B	Muscle	Muscle - Skeletal
GTEX-VJWN-0426-SM-3GIJI	Muscle	Muscle - Skeletal
GTEX-13X6J-0326-SM-7EPGD	Muscle	Muscle - Skeletal
GTEX-ZTX8-1626-SM-51MRY	Muscle	Muscle - Skeletal
GTEX-1H4P4-0626-SM-9YFKZ	Muscle	Muscle - Skeletal
GTEX-ZWKS-0326-SM-5NQ7G	Muscle	Muscle - Skeletal
GTEX-1B8KZ-2126-SM-73KYG	Muscle	Muscle - Skeletal
GTEX-PWN1-1626-SM-2S1OL	Muscle	Muscle - Skeletal
GTEX-ZV7C-2426-SM-5NQ7Q	Muscle	Muscle - Skeletal
GTEX-W5WG-1926-SM-4KKZK	Muscle	Muscle - Skeletal
GTEX-12126-0526-SM-5PNW4	Muscle	Muscle - Skeletal
GTEX-ZVP2-2126-SM-5GU6E	Muscle	Muscle - Skeletal
GTEX-U412-0326-SM-3DB9L	Muscle	Muscle - Skeletal
GTEX-1J8Q2-0126-SM-E9J2G	Muscle	Muscle - Skeletal
GTEX-QDVJ-1926-SM-2S1PJ	Muscle	Muscle - Skeletal
GTEX-17KNJ-2426-SM-7DHLR	Muscle	Muscle - Skeletal
GTEX-15SHV-2526-SM-6PAMG	Muscle	Muscle - Skeletal
GTEX-Y111-0326-SM-4SOIX	Muscle	Muscle - Skeletal
GTEX-1QP2A-0526-SM-E8VN5	Muscle	Muscle - Skeletal
GTEX-1HBPN-0526-SM-A9SM6	Muscle	Muscle - Skeletal
GTEX-13JUV-2326-SM-5IJCE	Muscle	Muscle - Skeletal
GTEX-14PQA-0526-SM-7KUFS	Muscle	Muscle - Skeletal
GTEX-139TS-2626-SM-5J1MT	Muscle	Muscle - Skeletal
GTEX-1AMFI-2226-SM-731C6	Muscle	Muscle - Skeletal
GTEX-12584-0526-SM-5FQTS	Muscle	Muscle - Skeletal
GTEX-1NHNU-1226-SM-DTX8I	Muscle	Muscle - Skeletal
GTEX-1HCU9-1926-SM-9WYSE	Muscle	Muscle - Skeletal
GTEX-Q2AG-0426-SM-2S1PU	Muscle	Muscle - Skeletal
GTEX-1IDJD-1326-SM-CM2TQ	Muscle	Muscle - Skeletal
GTEX-14E6E-2026-SM-664N5	Muscle	Muscle - Skeletal
GTEX-14C38-0426-SM-5TDDZ	Muscle	Muscle - Skeletal
GTEX-11NUK-0226-SM-5A5L4	Muscle	Muscle - Skeletal
GTEX-ZQG8-1226-SM-51MRX	Muscle	Muscle - Skeletal
GTEX-1LB8K-0126-SM-EVYCN	Muscle	Muscle - Skeletal
GTEX-1JMQJ-0126-SM-E6CI2	Muscle	Muscle - Skeletal
GTEX-15SHW-0726-SM-7KUEI	Muscle	Muscle - Skeletal
GTEX-1A32A-0526-SM-731B9	Muscle	Muscle - Skeletal
GTEX-13OW5-0326-SM-5L3HK	Muscle	Muscle - Skeletal
GTEX-Y114-2526-SM-4TT8M	Muscle	Muscle - Skeletal
GTEX-1ICLZ-0626-SM-ARL83	Muscle	Muscle - Skeletal
GTEX-15CHQ-0726-SM-6EU18	Muscle	Muscle - Skeletal
GTEX-T5JW-1826-SM-3GAE1	Muscle	Muscle - Skeletal
GTEX-1IKJJ-0326-SM-CL55L	Muscle	Muscle - Skeletal
GTEX-1QP28-0526-SM-E8VNR	Muscle	Muscle - Skeletal
GTEX-13FHP-0526-SM-5K7UY	Muscle	Muscle - Skeletal
GTEX-14BMU-2026-SM-5S2W6	Muscle	Muscle - Skeletal
GTEX-ZUA1-0326-SM-5NQA3	Muscle	Muscle - Skeletal
GTEX-13OVK-1926-SM-6M48G	Muscle	Muscle - Skeletal
GTEX-13RTL-0326-SM-7LT89	Muscle	Muscle - Skeletal
GTEX-144GN-2426-SM-5LU4R	Muscle	Muscle - Skeletal
GTEX-1EWIQ-0626-SM-7PBYW	Muscle	Muscle - Skeletal
GTEX-1LBAC-0326-SM-DIPF1	Muscle	Muscle - Skeletal
GTEX-1B933-0426-SM-7DHMC	Muscle	Muscle - Skeletal
GTEX-1QEPI-0526-SM-E76QF	Muscle	Muscle - Skeletal
GTEX-14AS3-2126-SM-5S2MK	Muscle	Muscle - Skeletal
GTEX-1MJK3-1426-SM-E9TK1	Muscle	Muscle - Skeletal
GTEX-15F5U-1826-SM-6LLJF	Muscle	Muscle - Skeletal
GTEX-1IY9M-0326-SM-ARZMN	Muscle	Muscle - Skeletal
GTEX-ZAB5-2126-SM-5K7UN	Muscle	Muscle - Skeletal
GTEX-1M5QR-1326-SM-EWROC	Muscle	Muscle - Skeletal
GTEX-11O72-0326-SM-5986D	Muscle	Muscle - Skeletal
GTEX-WHSE-0526-SM-5GZZD	Muscle	Muscle - Skeletal
GTEX-1S5ZA-0526-SM-EWRO1	Muscle	Muscle - Skeletal
GTEX-17HG3-2726-SM-7DHL5	Muscle	Muscle - Skeletal
GTEX-1C6VS-0126-SM-7PC2H	Muscle	Muscle - Skeletal
GTEX-X638-0326-SM-47JY1	Muscle	Muscle - Skeletal
GTEX-1MUQO-0226-SM-E9TJL	Muscle	Muscle - Skeletal
GTEX-U3ZG-0326-SM-47JXN	Muscle	Muscle - Skeletal
GTEX-15UKP-0326-SM-7KUFP	Muscle	Muscle - Skeletal
GTEX-15CHC-2426-SM-6EU22	Muscle	Muscle - Skeletal
GTEX-1R46S-0326-SM-EWRNE	Muscle	Muscle - Skeletal
GTEX-1LVAN-0526-SM-CNNQ1	Muscle	Muscle - Skeletal
GTEX-1117F-0426-SM-5EGHI	Muscle	Muscle - Skeletal
GTEX-1HCU6-0526-SM-A9SKU	Muscle	Muscle - Skeletal
GTEX-13111-2226-SM-5LZUE	Muscle	Muscle - Skeletal
GTEX-U8XE-0726-SM-3DB8O	Muscle	Muscle - Skeletal
GTEX-P44G-0526-SM-2XCD1	Muscle	Muscle - Skeletal
GTEX-147F4-0326-SM-5TDCK	Muscle	Muscle - Skeletal
GTEX-ZDXO-0326-SM-4WKHJ	Muscle	Muscle - Skeletal
GTEX-14ICL-1926-SM-5RQIZ	Muscle	Muscle - Skeletal
GTEX-1R9PM-2226-SM-E8VOC	Muscle	Muscle - Skeletal
GTEX-11WQC-2626-SM-5CVLF	Muscle	Muscle - Skeletal
GTEX-132AR-1026-SM-5PNVL	Muscle	Muscle - Skeletal
GTEX-11I78-2426-SM-5A5K9	Muscle	Muscle - Skeletal
GTEX-1C4CL-0326-SM-7DHMH	Muscle	Muscle - Skeletal
GTEX-18A67-0326-SM-7LG5X	Muscle	Muscle - Skeletal
GTEX-ZPIC-2526-SM-57WDP	Muscle	Muscle - Skeletal
GTEX-146FH-0526-SM-5QGQ3	Muscle	Muscle - Skeletal
